target,quantile,year,n,mean_probability,median_probability,p90_probability,high_prob_050_rate,high_prob_080_rate
G,0.95,2031,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2032,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2033,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2034,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2035,942,0.00021855876108405146,0.0,0.0,0.0,0.0
H,0.95,2027,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2028,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2029,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2030,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2031,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2032,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2033,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2034,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
H,0.95,2035,942,0.07477831897090045,0.058823529411764705,0.058823529411764705,0.014861995753715499,0.013800424628450107
