target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
B,literature_2019_2020,spatial_baseline_residual,ElasticNet,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,ElasticNet,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,ElasticNet,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.035379249071212926,-0.01122190818205393,2.1349633215011234,0.9808221615176933,238.91518411221878,True,
B,literature_2019_2020,direct_global,PLSR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.041590321982617584,-0.003359037476672988,2.1280788400220074,0.983772852249528,235.23471194332836,,
B,literature_2019_2020,spatial_zone_features,PLSR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.0057473439798994,-0.04570226909165065,2.1675069469162973,0.9779349048421689,219.37861302576715,,
B,literature_2019_2020,spatial_baseline_residual,PLSR,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,PLSR,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,PLSR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.041590321982617584,-0.003359037476672988,2.1280788400220074,0.983772852249528,235.23471194332836,False,
B,literature_2019_2020,direct_global,XGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.012239727861549143,-0.16708348233157055,2.1870253010974525,1.046918763998747,247.19449750488937,,
B,literature_2019_2020,spatial_zone_features,XGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.038006459279702254,-0.19835975455636712,2.214685928034412,1.0702596323764324,257.46561090714727,,
B,literature_2019_2020,spatial_baseline_residual,XGBoost,"failed: [21:54:07] /__w/xgboost/xgboost/src/data/data.cc:568: Check failed: valid: Label contains NaN, infinity or a value too large.
Stack trace:
  [bt] (0) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x2c1a8c) [0x7fbc932c1a8c]
  [bt] (1) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b06b9) [0x7fbc935b06b9]
  [bt] (2) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b1655) [0x7fbc935b1655]
  [bt] (3) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(XGDMatrixSetInfoFromInterface+0x10b) [0x7fbc931c9cab]
  [bt] (4) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x650052) [0x7fbdec641052]
  [bt] (5) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64ed61) [0x7fbdec63fd61]
  [bt] (6) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64e96e) [0x7fbdec63f96e]
  [bt] (7) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bdeac) [0x7fbdec2aeeac]
  [bt] (8) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bda3c) [0x7fbdec2aea3c]

",,,,,,,,,,,,,
