target,spatial_block,model,status,n_train,n_test,n_features,lon_min,lon_max,lat_min,lat_max,r2,r2_log1p,rmse,mae,mape
B,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.07721945284466036,-0.49477526352971024,8.995881998040195,2.7084366883588107,94.49665680235623
C,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.06801635457091337,-0.22637179045075984,44.37755363790328,25.15055080335945,98.91324723420144
C,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.06171063612778638,-0.2584429458383497,44.24635404369147,25.857852645521923,105.77698610068053
C,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.030335696173778626,-0.2375324626495503,43.587682542281215,25.356309398284218,104.64672845691626
C,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.010373770491150847,-0.192236228627104,43.16337920501172,24.40863431134507,99.56746352145939
C,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,0.000256240043330469,-0.15609557575300848,42.935720691539196,23.730786310123936,95.54498726423036
C,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.05182973218715681,-0.20977918621139313,44.03998146144569,25.21026900580586,100.31170511310974
D,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,0.0040113105271997185,0.0575401719365477,83.18418837657059,30.10078879941593,57.427992448026565
D,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.027030582181254648,0.03558298850981512,84.47053955551432,29.89998799359361,52.035844643896766
D,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.020753037825000487,0.022959985805020344,84.2119881813759,30.532170970391856,56.429874800680956
D,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.03972473158338796,0.03909878436727532,84.99096641712542,29.272385999078622,48.363296282659306
D,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,0.026627886238763665,0.07950678513253095,82.23430574141992,30.458777710276948,59.17693926307655
D,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.061684371066951016,-0.07381697181469327,85.88380800725518,30.790468233490838,47.71582509142757
E,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.06639271136684188,-0.12992736757904177,10.528494276120915,6.73545168080058,26.945901252003484
E,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.9664691057909693,-0.8038304660884632,14.297208321428508,10.390420388037377,41.65094032433051
E,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.5778197876341862,-0.5656620028812731,12.806674766128591,9.129377946684263,36.68560751214369
E,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-1.2075910547040136,-0.8924924219218908,15.148408015320134,10.780811934797729,42.45193333061418
E,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.39351758569044004,-0.4368638353274854,12.035493652932566,8.271635470206343,33.73577118915612
E,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.13642521295457066,-0.12667670007689424,10.868712766690104,6.882552338766171,24.761003568411287
F,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.028879221115710063,0.18219692468152415,271.97779372680435,90.9992163362481,98.16528888629858
F,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.048414185527754006,0.10678441987132914,274.54762585593454,92.57061181984109,73.31363802175413
F,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.04810682026649271,0.0936073896703612,274.50737812286025,91.88168997135675,82.90562418774174
F,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.046743468661880616,0.1561097424724035,274.3287837991484,91.4158963777725,81.10850706442395
F,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.022277017307195557,0.20262221533856506,271.1037636684334,90.85542090541357,96.90203032746967
F,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.11654034364413213,-0.4037401670908416,283.32732298962264,99.79514623876237,74.94602748492572
G,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.01989929073899077,0.01902999232224878,698.3518802546603,143.37604900494932,63.17421491236198
G,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.030531230122452957,-0.39956170249670175,701.9824274493743,153.09781599381586,67.29836461617478
G,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.03642219519086809,-0.5177506891369197,703.9859867782062,154.60862617307495,62.2700011917975
G,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.02723759732023079,-0.15323424143110387,700.8597430431605,146.75113584711778,59.61415028886692
G,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.027751806582415606,-0.09206897322188534,701.0351374617594,145.52699759116982,60.04829030503528
G,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.03710827551946694,-0.2894948173863663,704.2189570071605,148.87075093266532,56.50646768601138
H,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.016602423214084894,-0.01609024654009361,0.49920607579936227,0.12581163859671549,53.866452433324326
H,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.008725101776993593,-0.027405555969146622,0.49726822181391095,0.13473035869169708,56.21712692710975
H,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.01992143310485428,-0.03440130487773585,0.50002031730056,0.12914378846994665,51.74381466881282
H,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.019605994520713432,-0.028209456093270413,0.49994298884517924,0.12526628666242506,48.55344623236448
