protocol,target,feature_set,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,B,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,-1.0255026183131846,-0.8263166182911674,2.9269614572963474,1.454824379010628,578.8562833068988
temporal_2022_2026,B,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.10709058397375948,-0.031007168763372617,1.9433646586358873,0.9108511518520467,373.8480144917548
temporal_2022_2026,B,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,-0.017049233569701894,-0.31426522355021613,2.0740612977716544,1.0698859445277238,434.27031586538084
temporal_2022_2026,C,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,-0.028348480892672168,-0.2356787806550973,34.49858479203435,22.93264942843052,63.96841770495727
temporal_2022_2026,C,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,-0.0064452014930287405,-0.1852205215732896,34.12920649913815,22.942290638687943,62.19929127602487
temporal_2022_2026,C,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,-0.2325824594556425,-0.6928321427663471,37.76931565228225,29.90065426010761,89.49407829663915
temporal_2022_2026,C,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,0.0027739041475861592,-0.20204116768905478,33.97253397917363,22.846533114713782,62.118439798210986
temporal_2022_2026,C,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,-0.012840991570779225,-0.1662388631607381,34.23747744581965,22.589047370354592,59.55867856453857
temporal_2022_2026,C,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,-0.017683043081820893,-0.25247445912222544,34.31921878964224,22.905633424202765,64.79246935056705
temporal_2022_2026,C,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,-0.016829866322827236,-0.22384980989759962,34.304829977995986,23.695554714641464,65.16942446288337
temporal_2022_2026,C,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,-0.35228000104067836,-0.8304110982847661,39.56074275777664,31.161178009600174,92.29625654915381
temporal_2022_2026,C,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.044891842975476104,-0.09079382816674064,33.24737802296697,21.437148813584272,57.141966947099206
temporal_2022_2026,C,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,-0.008509227590618229,-0.16148018106400785,34.16418480358125,22.626890758697623,60.847261451505084
temporal_2022_2026,D,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,0.08211437912031283,0.25365147843482183,48.28435345071942,16.95540881912081,26.225958193042636
temporal_2022_2026,D,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,-0.023897727189522877,-0.05117664442022085,50.99650658445811,19.185184598469526,30.432029947373636
temporal_2022_2026,D,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,0.15412229174669267,0.31819095312315526,46.351727762984495,17.383824768564995,29.06744316433788
temporal_2022_2026,D,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,0.08983069627353979,0.2933000945091103,48.08097096260687,16.88073985739315,25.741093471052157
temporal_2022_2026,D,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,0.031872883941150176,0.10793155689588652,49.588198307627195,18.258336941310958,29.775749117059064
temporal_2022_2026,D,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,0.17956254519123027,0.33482085705782305,45.64937927031646,16.6159233692674,28.42807128608678
temporal_2022_2026,D,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,0.06586408150448797,0.11142509449375648,48.70989269850082,18.966474218271873,32.50289776607868
temporal_2022_2026,D,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,0.19229051698996125,0.32338032945224626,45.29390115986811,17.18253844558655,29.500856075468633
temporal_2022_2026,D,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.16898193298955932,0.37131987535560096,45.94279049490496,15.835921383128447,26.5798749911973
temporal_2022_2026,D,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,0.09610907409028224,0.194436587919827,47.914851933055985,17.327296502055923,29.982941535978014
temporal_2022_2026,E,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,0.10315721257923316,0.1689261590063469,23.045330322200094,10.641263006211606,24.399445126139483
temporal_2022_2026,E,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,-0.03282158877444763,0.024876473859057335,24.73075819979476,11.82941739364019,27.016793022845746
temporal_2022_2026,E,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,-0.36701414831187473,-1.203214477793603,28.451900570517143,12.03795108823294,26.71862390767361
temporal_2022_2026,E,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,0.06696298994529237,0.11743740529698232,23.50575542508429,11.163373882069308,25.85393152558074
temporal_2022_2026,E,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,0.010027819503395596,0.03934437946209668,24.212312627948723,11.81215477451125,27.9953737847272
