protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,E,local_analog_memory_ml,HistGBR,ok,815,100,64,-0.11629135220279485,-0.0693253209629654,11.861956146031277,8.443257319294897,30.7690177531541
literature_2019_2020,E,local_analog_memory_ml,LightGBM,ok,815,100,64,-0.03273423729892855,-0.011953054285969156,11.409374128529608,8.27088764611665,30.10169204820051
literature_2019_2020,E,local_analog_memory_ml,XGBoost,ok,815,100,64,0.08281825157418787,0.0753036182167911,10.752148054102886,7.646229435729979,28.203802676108108
literature_2019_2020,E,local_analog_memory_ml,CatBoost,ok,815,100,64,0.10321865061225244,0.07722998425541716,10.631898398516988,7.342006717234705,27.50966107009617
literature_2019_2020,E,local_analog_memory_ml,NGBoost,ok,815,100,64,0.04037546043486295,-0.005112203413488281,10.998113735371312,7.663269031694171,28.08259194905544
literature_2019_2020,F,local_analog_direct,AnalogIDW,ok,815,100,19,-3.810206504137817,-0.1597145728756053,188.23445472361445,69.1649802337137,96.93855598364578
literature_2019_2020,F,local_analog_direct,AnalogMedian,ok,815,100,19,-0.07106782610104312,-0.16983318462512464,88.82306322625335,45.15039999999999,76.30615668099404
literature_2019_2020,F,local_analog_direct,AnalogP90,ok,815,100,19,-7.447912086066999,-1.3751815057742376,249.45485025932012,131.22448,274.6792721476424
literature_2019_2020,F,local_analog_direct,AnalogRecentMax,ok,815,100,19,-10.049410181569767,-1.9607970653406253,285.2901699152286,156.02177999999998,365.62369755791957
literature_2019_2020,F,local_analog_direct,AnalogSameOrNearestMax,ok,815,100,19,-13.033146585028488,-0.5727898552989308,321.51022587659634,85.24998000000001,102.43787224181902
literature_2019_2020,F,local_analog_memory_ml,ElasticNet,ok,815,100,64,-0.057693872597543105,0.1428691251491656,88.26677394778889,44.344425037208936,71.27813410920201
literature_2019_2020,F,local_analog_memory_ml,HistGBR,ok,815,100,64,-0.12816501696035631,0.1910828093229533,91.15984414776807,42.635539689660035,67.6016268543989
literature_2019_2020,F,local_analog_memory_ml,LightGBM,ok,815,100,64,-0.07916127761487712,0.21498123133714253,89.15802437119781,42.048179908736444,63.901563314926065
literature_2019_2020,F,local_analog_memory_ml,XGBoost,ok,815,100,64,0.08469539985758645,0.24308270392161802,82.11076195219898,38.42888806015014,61.05200397427711
