protocol,target,feature_set,method,model,status,n_train,n_validation,n_test,n_features,validation_r2,validation_rmse,validation_mae,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,A,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,938,245,34,112,0.047383052816062476,19.84643812236298,6.729742164214464,0.08764716644243431,0.18383484301603903,18.344627784587768,7.125680698531325,45.779146848259785
temporal_2022_2026,A,external_covariates,distributional_robust,RF_yj,ok,938,245,34,112,0.05922682305539684,19.72267807435111,6.871482641887596,0.12535614239880277,0.185541958263436,17.961521271231458,7.133919935795711,45.437460162805316
temporal_2022_2026,A,external_covariates,distributional_robust,Huber_yj,ok,938,245,34,112,-0.21832424441657095,22.44423803820227,9.291932783926013,0.10643266380196192,-0.007288441975984883,18.154786007003995,8.62652277738842,68.98016130444175
temporal_2022_2026,A,external_covariates,distributional_robust,Ridge_qnormal,ok,938,245,34,112,-3.3514460117531746,42.417026697886975,12.100845537153806,0.08983355495652479,0.12363162324979138,18.322633803683118,7.567960749131398,55.98202822114553
temporal_2022_2026,A,external_covariates,distributional_robust,Poisson_raw,ok,938,245,34,112,-0.2802820036341549,23.007860905037912,11.219510085822613,0.15736553825493393,-0.24814248770260927,17.629788412484658,10.561931963757294,90.66828921210265
temporal_2022_2026,B,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,938,245,34,112,-0.022806685118814896,6.230805407868161,1.3914080157044777,0.13091102151762712,0.32583067286279777,1.917267543357539,0.6466728591431548,134.4936212141756
temporal_2022_2026,B,external_covariates,distributional_robust,HistGBR_squared_yj,failed: Input contains NaN.,938,245,34,112,,,,,,,,
temporal_2022_2026,B,external_covariates,distributional_robust,ExtraTrees_yj,ok,938,245,34,112,-0.02727402926080713,6.244397822020009,1.3910142638751277,0.06251648602719417,0.22625739546262502,1.991280398715602,0.6974917587631452,168.76533927717134
temporal_2022_2026,B,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,938,245,34,112,-0.01389156116421475,6.203591087518261,1.411458880475437,0.11184508306885754,0.30852890605261707,1.938183809405709,0.6367645452357501,120.49232401245649
temporal_2022_2026,B,external_covariates,distributional_robust,RF_yj,ok,938,245,34,112,-0.025255840551713593,6.238260915711462,1.3825937125554637,0.037974755028550855,0.17672297792719371,2.01717619113485,0.700070857671431,161.6559675280694
temporal_2022_2026,B,external_covariates,distributional_robust,Huber_yj,failed: Input contains NaN.,938,245,34,112,,,,,,,,
temporal_2022_2026,B,external_covariates,distributional_robust,Ridge_qnormal,ok,938,245,34,112,0.015148540442725622,6.114103350956647,1.6963191928934336,0.2883191454594288,0.14622257373135716,1.7349750769665893,0.7949154054775962,314.59742959398403
temporal_2022_2026,B,external_covariates,distributional_robust,Poisson_raw,ok,938,245,34,112,-1.8415901562785502,10.385517192560625,2.895921468985918,0.4599860217425701,0.04332732315926591,1.511308413165005,0.9060956925046628,341.3708527859647
temporal_2022_2026,C,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,938,245,34,112,-0.0365635622026621,52.25250353660517,25.53698281979992,-0.03577895863141012,-0.25445949370637155,34.62299766349576,23.79615704532056,65.80922032242631
temporal_2022_2026,C,external_covariates,distributional_robust,HistGBR_squared_yj,ok,938,245,34,112,-0.01820217272140079,51.78764280975566,26.646672561128895,-0.029127096220344484,-0.3067409227373168,34.51164264394018,25.467140120037964,72.10617964109932
temporal_2022_2026,C,external_covariates,distributional_robust,ExtraTrees_yj,ok,938,245,34,112,-0.03378789610073252,52.18249686706856,25.958967362122653,-0.017301375984294154,-0.24187800446589036,34.31278272634835,22.97417980229238,64.90378252389392
