target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
F,random_fivefold_cv,3,LightGBM,ok,778,194,0.020545040031812123,0.4028082177655352,514.3864963023561,64.812404362261,66.11519051679949
F,random_fivefold_cv,4,LightGBM,ok,778,194,0.06671156286245472,0.26842255566402995,123.2950726181681,40.109971917709814,60.35148389410995
F,random_fivefold_cv,5,LightGBM,ok,778,194,0.05627474035503044,0.411546537712393,165.23690843497712,50.40454012852827,47.529884420933925
F,random_fivefold_cv,pooled,LightGBM,ok,778,972,0.04930442446396799,0.3573016265769482,273.061804318929,50.699674117487305,64.17291511719436
F,random_fivefold_cv,1,ExtraTrees,ok,777,195,0.1140641539855255,0.4789613512653602,251.14295692153146,60.754193702777535,57.450962877220334
F,random_fivefold_cv,2,ExtraTrees,ok,777,195,0.3538521873529863,0.3093066617890976,57.78592357440268,31.12082321782388,76.01482536362496
F,random_fivefold_cv,3,ExtraTrees,ok,778,194,0.005762170970004532,0.4229994033217913,518.2537647935934,63.50418185625365,58.62863277556672
F,random_fivefold_cv,4,ExtraTrees,ok,778,194,0.14555435101051006,0.36781451081317296,117.97228719960047,35.418132844362106,55.13693389940961
F,random_fivefold_cv,5,ExtraTrees,ok,778,194,0.03019026271314773,0.39243787873240465,167.5049097437156,50.34975288929986,46.4460558633611
F,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.039801564921724375,0.40237838612263543,274.42313168355105,48.22470104111204,58.75193773601058
G,random_fivefold_cv,1,RF,ok,777,195,-0.14081609176458043,-0.0986224213938971,192.01563970474095,64.22876044956749,49.51344978409495
G,random_fivefold_cv,2,RF,ok,777,195,0.02015382863767523,-0.021106225660026068,125.28708635823591,49.630944585734035,87.97202414116519
G,random_fivefold_cv,3,RF,ok,778,194,-0.07297596966146025,-0.03128505062387221,76.39294908842933,36.86304817980784,36.913748318820964
G,random_fivefold_cv,4,RF,ok,778,194,0.10317188220080553,0.12015107206196973,157.32694351969002,46.627644921147755,46.55489538762092
G,random_fivefold_cv,5,RF,ok,778,194,-0.011485149893099678,0.07647251158227841,735.3504617053798,125.26768205388613,34.51750462704094
G,random_fivefold_cv,pooled,RF,ok,778,972,-0.00391511925572785,0.018494930044574365,352.95367478912124,64.50799101020894,51.13063805773807
G,random_fivefold_cv,1,XGBoost,ok,777,195,-0.1841711639399204,-0.07966785779969099,195.6302567405344,64.16150562118139,47.55386389989272
