module_id,module_name,candidate_module_id,candidate_module_name,target,candidate_source_file,source_file,source,protocol,method,model,n_train,n_test,r2,rmse,mae,mape,module_description
M5,加多任务潜变量,M4,加时间加权,G,tables/innovation_model_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,temporal_weighted,PLSR,938.0,34.0,0.1130874662788906,25.840796608068377,20.383590330658198,41.11350703143138,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M5,加多任务潜变量,M5,加多任务潜变量,H,tables/multitask_latent_best_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,multitask_latent_pca,Latent_RF,938.0,34.0,0.0758643374095906,0.2266803823982839,0.1298604734453783,268.89800150256065,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M6,加权集成完整模型,M6,加权集成完整模型,A,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,spatial_quantile_baseline,temporal_2022_2026,grid_spatial_quantile,Grid6_Q90,938.0,34.0,0.6799856172470193,10.864562448215592,7.457558823529411,80.36019846934013,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,B,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,quantile_risk_gate,temporal_2022_2026,risk_gated_quantile,GateQ90_P90_pow1,938.0,34.0,0.4526167423844467,1.5215854757796996,0.6897384065399956,209.55408471946373,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,C,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,spatial_quantile_baseline,temporal_2022_2026,knn_spatial_quantile,KNN12_Q20,938.0,34.0,0.1408646475019326,31.532755210005323,18.463811764705884,42.56119551064521,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,D,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,spatial_quantile_baseline,temporal_2022_2026,grid_spatial_quantile,Grid10_Q75,938.0,34.0,0.3694922427768553,40.01818192378677,17.28958823529412,36.64413947077093,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,E,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,external_geo_terrain_covariates,temporal_2022_2026,external_geo_terrain,HistGBR_raw,938.0,34.0,0.6366777251281004,14.667996240763236,8.751841565850977,26.94560675418709,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,F,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,causal_history_memory,temporal_2022_2026,causal_history_ml,LightGBM,938.0,34.0,0.3413546827757919,65.2849807235738,39.7115529103262,30.93927752300464,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,G,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,spatial_quantile_baseline,temporal_2022_2026,knn_spatial_quantile,KNN20_Q45,938.0,34.0,0.4940669991061639,19.516952529172062,14.34808676470588,31.036858435777127,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
M6,加权集成完整模型,M6,加权集成完整模型,H,tables/publication_grade_recommended_metrics.csv,tables/publication_grade_recommended_metrics.csv,spatial_quantile_baseline,temporal_2022_2026,knn_spatial_quantile,KNN80_Q85,938.0,34.0,0.0792810470593082,0.2262609535860022,0.1185235294117647,238.2160073486677,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。
