target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
G,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-13.458219719703122,-2.5346412659625166,104.3332922423485,53.91399102028744,100.9345319704729
G,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-31.992657723672373,-3.322123513728746,157.60651004942076,63.80407076742987,134.84260986711962
G,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-15.1745050952346,-2.3514574522807994,110.35220162096967,57.86154225857565,88.71655508070734
G,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-12.387227542075651,-2.812079413645285,100.39470875212697,60.8493270914141,101.2979253499322
G,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-13.052774184330985,-3.7225738550122056,102.86000364792741,67.97750831998462,127.84565353482729
G,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-6.078743751147232,-25.214262385375253,73.00348575580533,48.98167551819459,63.606098047945046
G,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-5.458125570060732,-78.09838261043913,69.72985211271036,62.389791974880865,87.08527311417704
G,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-6.651060068242707,-113.42995905452236,75.89729667761017,69.77471725379812,97.5152727948701
G,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-28.955193163654222,-1.788100615298473,150.17635661171494,53.96438670703941,75.79044640424529
G,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-42.83681270147357,-5.992421317303095,181.67074054389786,61.51556524485397,81.81526738108458
G,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-84.29442009680716,-18.148510253286425,253.41120382607338,86.25315314589254,106.46730050195134
G,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-18.010209238307244,-6.09556963173717,119.63519177448853,57.11117168033857,82.64109752129019
G,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-19.446921094958824,-40.810035711535946,124.07362246468988,71.92907569575591,107.99172682335572
G,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-22.115624547810224,-74.15106844970961,131.9223313254729,89.65807362956076,142.8596217072397
H,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-2.721938845464643,-2.106761931592132,0.45491545139851775,0.2100678714927626,406.18556064775976
H,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.7513379280359933,-1.4833283685591447,0.3911272181368687,0.19548797852475877,401.52071779357544
H,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-1.010913044857122,-0.9953454813979419,0.33438186620008237,0.18879613803573433,402.3592109864291
H,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.22059138124871458,-0.42578988160604236,0.26051409229476385,0.18040231141977342,407.0838718948643
