feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
external_covariates,literature_2019_2020,A,XGBoost,ok,815,100,42,0.05456613857974002,0.0197540126257173,13.592045359976117,6.699827012557982,41.77210119328647
external_covariates,literature_2019_2020,A,LightGBM,ok,815,100,42,-0.09507708165260831,-0.12927491207000563,14.62822338511307,7.066249149940594,45.414929578944154
external_covariates,literature_2019_2020,A,CatBoost,ok,815,100,42,0.05505982300661638,0.06751733352624212,13.588496165472462,6.578015946478509,38.336212442135206
external_covariates,literature_2019_2020,A,NGBoost,ok,815,100,42,-0.5151589979839937,-0.15365170519509208,17.206729977401412,7.241211167419444,60.06808292966568
external_covariates,literature_2019_2020,B,RF,ok,815,100,42,0.026424870565393443,-0.1745782006231622,2.144849646751853,1.0458776703214248,275.41333719186946
external_covariates,literature_2019_2020,B,ExtraTrees,ok,815,100,42,0.0501823556005776,-0.10789270834260933,2.1185183724311787,1.0447385006133703,264.5581998826948
external_covariates,literature_2019_2020,B,HistGBR,ok,815,100,42,-0.024441034659898442,-0.2616293969987993,2.2001667707207333,1.1089059545103401,278.49590826549206
external_covariates,literature_2019_2020,B,ElasticNet,ok,815,100,42,0.05534550520810011,0.013881382884806226,2.1127524589484494,0.9387264596729469,208.15343595031993
external_covariates,literature_2019_2020,B,PLSR,ok,815,100,42,0.053943915553420596,-0.00032837490144399517,2.1143192298830527,0.9520897785632181,212.77818970782613
external_covariates,literature_2019_2020,B,XGBoost,ok,815,100,42,0.0960225096717634,-0.05149637205979096,2.066764181719553,1.0000203803455832,225.485088382644
external_covariates,literature_2019_2020,B,LightGBM,ok,815,100,42,-0.01104507623656259,-0.20530758103774782,2.1857343496537474,1.0804484748068521,255.02088042428554
external_covariates,literature_2019_2020,B,CatBoost,ok,815,100,42,0.05756696340745404,-0.0027886626599600284,2.1102668127128834,0.9527482646157766,196.34575460104122
external_covariates,literature_2019_2020,B,NGBoost,ok,815,100,42,-0.14588492051049018,-0.23693867940564317,2.326926257528765,1.0724638020984942,245.017775057312
external_covariates,literature_2019_2020,C,RF,ok,815,100,42,0.05303700301220993,0.05241815646592396,50.99253560538388,24.226561628647747,35.601660443038945
external_covariates,literature_2019_2020,C,ExtraTrees,ok,815,100,42,0.06868911487852503,0.12887677628967753,50.56935830982385,23.87961138949132,35.37914558730287
external_covariates,literature_2019_2020,C,HistGBR,ok,815,100,42,0.07687450261145912,0.07598261515109728,50.34663819091053,24.454810881602054,38.21207619712768
