fold,target,model,family,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
P1_to_P2,H,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.029617855826901573,-0.07526520835698336,0.38186418028620983,0.10401383915276691,79.85934959646698
P1P2_to_P3,A,RF,bagging,ok,748,224,2000,2017,2018,2026,0.0620465160259297,0.11648413651364897,21.388345035164043,7.648839400566545,41.75836315001372
P1P2_to_P3,A,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,0.05751604917176756,0.1337682421443055,21.43993739126438,7.796135568377635,41.17999083050041
P1P2_to_P3,A,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,0.05391849517449898,0.06916380615764306,21.48081759302652,8.112082238092437,44.64972606988433
P1P2_to_P3,A,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,0.023873575683086457,0.06268595852958181,21.81923731134885,8.18268302082024,51.0055931501833
P1P2_to_P3,A,PLSR,linear,ok,748,224,2000,2017,2018,2026,0.019618250347235522,-0.01424074125860142,21.866744980774477,8.727625995165628,57.28905643759787
P1P2_to_P3,A,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.11118998828156146,0.15955489769228004,20.82049257943337,7.63555747132642,41.82177441742491
P1P2_to_P3,A,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,0.06661601565525166,0.08457229577517267,21.336181808621767,8.069895804744807,44.55856107126074
P1P2_to_P3,A,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,0.06882521011512854,0.21045279139344863,21.310916912552884,7.310806087955874,36.30548065461265
P1P2_to_P3,A,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.2568893402689736,-0.06493619725454747,24.759111323138832,8.688529203520236,53.85722670949499
P1P2_to_P3,B,RF,bagging,ok,748,224,2000,2017,2018,2026,0.08711868884251395,0.06973918112472988,3.7250977683846465,1.2436093500841425,260.7868850651975
P1P2_to_P3,B,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,0.05239061881542362,0.007656046723007348,3.7952919855083023,1.2815589262153948,281.02026786884767
P1P2_to_P3,B,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,0.06300856323375281,0.02216807196506987,3.773969000431372,1.2978366055887123,268.92881641446786
P1P2_to_P3,B,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,0.07306148348302766,0.05636580662549773,3.7536690703329407,1.273373259091459,294.2076235862292
P1P2_to_P3,B,PLSR,linear,ok,748,224,2000,2017,2018,2026,0.007024519126150097,0.021953210636603826,3.8850783355707414,1.3314111233222339,313.9539697650509
P1P2_to_P3,B,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.06525369572410533,0.05052842751540476,3.7694448704504158,1.255129989567399,270.72481674617666
P1P2_to_P3,B,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,0.015149269714018976,-0.026180993670041897,3.86915139315791,1.3001013959527508,257.96063730535377
P1P2_to_P3,B,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,0.058943823844346044,0.09104612011654378,3.782146022707803,1.2150388966896972,239.90369042467887
P1P2_to_P3,B,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.019074407255372572,-0.031951522054526116,3.9358040210265197,1.2990787546059595,298.03499295166864
P1P2_to_P3,C,RF,bagging,ok,748,224,2000,2017,2018,2026,-0.038138914099747234,-0.19736156134759875,54.003632963828586,27.34979627394468,47.78330294799433
P1P2_to_P3,C,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,-0.03236390503611708,-0.0979785413978993,53.85321648315608,26.781463884637578,47.68196493701466
P1P2_to_P3,C,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,-0.054226536798136715,-0.2706269658989011,54.42046064765083,28.329028358943365,53.69290991127011
P1P2_to_P3,C,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,-0.05028438816854175,-0.09543301956214245,54.31861608764392,27.31122457719184,45.90312637862811
P1P2_to_P3,C,PLSR,linear,ok,748,224,2000,2017,2018,2026,-0.04807713784740697,-0.11370711141161438,54.261508773486476,27.626140122372924,47.15228491481621
P1P2_to_P3,C,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.030405890431823845,-0.12929721173875208,53.802122373271544,26.739688745566774,49.18699400102723
P1P2_to_P3,C,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,-0.07236090941369855,-0.26555435569171415,54.88652415992249,28.199763250769788,52.48092613915117
P1P2_to_P3,C,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.025883402739309558,-0.11128069483597858,53.68392283150305,26.9027494869215,48.874888180833715
P1P2_to_P3,C,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.032944921485873246,-0.18925568569534268,53.868368699962545,27.202723815953643,49.42229325994013
P1P2_to_P3,D,RF,bagging,ok,748,224,2000,2017,2018,2026,0.04725761829166708,-0.015982579256820673,52.14884082729464,21.65318750019358,47.26455684097067
P1P2_to_P3,D,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,0.11633654637502266,0.02337801725897859,50.22273549708276,21.249576655629898,47.90874273318216
P1P2_to_P3,D,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,-0.03288844913168343,-0.14189507300927384,54.29797425620792,23.507068766037168,52.3857591528682
P1P2_to_P3,D,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,0.03441682114806299,0.032133216410974774,52.49908843682781,21.04171067406602,47.64957155526891
P1P2_to_P3,D,PLSR,linear,ok,748,224,2000,2017,2018,2026,0.010357567770838627,0.011578328178659558,53.1491191045508,21.362294921438377,49.70354853936492
P1P2_to_P3,D,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.01146038659111126,-0.0376524266103162,53.119497200078094,21.83826147304262,47.52086299241756
P1P2_to_P3,D,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,0.001795734867265364,-0.14111326051155637,53.37853221306836,22.752584483996127,51.45316025048271
P1P2_to_P3,D,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,0.033276160353838846,0.013933848948511018,52.5300883435437,21.221662434742367,44.63803607518065
P1P2_to_P3,D,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.09455818732192145,-0.012329654980530291,50.83785170438463,21.697650138405006,48.95112362268045
P1P2_to_P3,E,RF,bagging,ok,748,224,2000,2017,2018,2026,-0.03917126946435001,-0.02387704991582007,25.482982659364435,9.50151019132993,24.93423536079425
P1P2_to_P3,E,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,-0.05901340672034405,-0.07433877870727867,25.725120767285837,9.783084624009922,24.750796400381976
P1P2_to_P3,E,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,-0.04695109536933417,-0.11074472068102703,25.578194824107225,10.581430744790023,27.418733018187773
P1P2_to_P3,E,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,0.004884464828023294,0.04853694797072161,24.936956419191976,9.220071506207725,24.862684113342297
P1P2_to_P3,E,PLSR,linear,ok,748,224,2000,2017,2018,2026,0.010038446095458009,0.04458831333380742,24.87229485464581,9.361092903669462,25.56835088700312
P1P2_to_P3,E,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.05027112002942169,-0.06360634864084092,25.618718694359558,9.86520438173839,25.0678566111832
P1P2_to_P3,E,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,-0.08916669140892064,-0.23473978578601762,26.088785909918997,11.133844142591645,28.489783897475508
P1P2_to_P3,E,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.05182872013430395,-0.043078639830215204,25.63770852201693,9.481673975284902,24.135782198625826
P1P2_to_P3,E,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.04615826284546953,-0.04942617870350419,25.568508093966425,10.018376884154948,26.166542013337857
P1P2_to_P3,F,RF,bagging,ok,748,224,2000,2017,2018,2026,-9.038486521339983e-05,0.14649447334618326,495.8264188762074,81.82479215184935,68.30732436524866
P1P2_to_P3,F,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,-0.0040729612765368906,0.16107328228740458,496.8126820414632,82.0746281622661,68.42456409747832
P1P2_to_P3,F,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,0.023886157145750153,0.13014920102779415,489.8467977623303,82.52276879995215,70.91038203959613
P1P2_to_P3,F,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,-0.013366951817229467,0.09359217236912332,499.10670686723984,86.66142571183241,70.50545643207676
P1P2_to_P3,F,PLSR,linear,ok,748,224,2000,2017,2018,2026,-0.012831033133198,0.07218892702330393,498.97471322828113,86.98771830964981,72.90687820806637
P1P2_to_P3,F,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.005070483290824268,0.14762846258621887,494.5454323816131,80.89028514882496,64.75625165631367
P1P2_to_P3,F,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,0.005626048616061197,0.10283667895861992,494.4073368405349,83.98492592533431,70.69719509305796
P1P2_to_P3,F,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,0.00046665781603782985,0.13029635545707718,495.68831388463286,82.06632886063117,67.68116963667872
P1P2_to_P3,F,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.011544734711330995,0.14370041579337933,492.93374171673037,81.22168695692949,67.34682644487197
P1P2_to_P3,G,RF,bagging,ok,748,224,2000,2017,2018,2026,-0.10566196913491077,-0.36182921660141654,186.34288698042994,63.39203746134803,56.42144124124323
P1P2_to_P3,G,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,-0.06174592049702832,-0.27678961392833523,182.60469278079734,60.52296843768169,51.92055447453997
P1P2_to_P3,G,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,-0.17925736725353625,-0.5385894044349497,192.4446902220225,68.794210471046,62.05486449973125
P1P2_to_P3,G,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,-0.3592229215894469,-0.22413206630276572,206.6079262747486,59.85218492033818,53.33942027774374
P1P2_to_P3,G,PLSR,linear,ok,748,224,2000,2017,2018,2026,-0.5204711476275836,-0.2686043487744352,218.51976537417752,62.13387372978881,57.54461265339065
P1P2_to_P3,G,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.20152550589706153,-0.39030965451495336,194.25317728822145,63.604882911818365,55.19729409299933
P1P2_to_P3,G,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,-0.15717791096118416,-0.5740244412121007,190.6345885010334,67.62995910399081,60.3933434494326
P1P2_to_P3,G,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.06814638531289519,-0.19738133325382745,183.15425873279437,58.2543944132924,47.137033732335055
P1P2_to_P3,G,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.22908627265635007,-0.49477431932363247,196.46844956689864,66.99942506877281,60.26705033253522
P1P2_to_P3,H,RF,bagging,ok,748,224,2000,2017,2018,2026,0.15299139286916852,0.2172693056724858,0.4676583621872416,0.1425180043130407,121.48438489925286
P1P2_to_P3,H,ExtraTrees,bagging,ok,748,224,2000,2017,2018,2026,0.1671964389952647,0.24258257669786187,0.46372026922596155,0.1423332688360353,119.038202383769
P1P2_to_P3,H,HistGBR,boosting,ok,748,224,2000,2017,2018,2026,0.2295766377378432,0.29430954571658574,0.4460150510499299,0.1434948270569143,121.6074464076684
P1P2_to_P3,H,ElasticNet,linear,ok,748,224,2000,2017,2018,2026,0.09826557029289795,0.17126019867130593,0.4825297766820291,0.14562788499201293,130.58631125307429
P1P2_to_P3,H,PLSR,linear,ok,748,224,2000,2017,2018,2026,0.11140463108981635,0.16567887108650914,0.47900143593018657,0.155135856138852,149.7388267448731
P1P2_to_P3,H,XGBoost,boosting,ok,748,224,2000,2017,2018,2026,0.13784903222894584,0.18337157102031065,0.47182011551208025,0.13701614863344602,136.1929336396082
P1P2_to_P3,H,LightGBM,boosting,ok,748,224,2000,2017,2018,2026,0.14808248320610184,0.15488337733596969,0.46901158104345236,0.1480399929526727,125.35629270460036
P1P2_to_P3,H,CatBoost,boosting,ok,748,224,2000,2017,2018,2026,0.10049003041525206,0.14869081308260357,0.4819342404615063,0.13958424307927536,128.79939245972182
P1P2_to_P3,H,NGBoost,boosting,ok,748,224,2000,2017,2018,2026,-0.31991352887286606,-0.32597732144111524,0.5837911845968156,0.16867050239791587,203.18877614478902
