target,model,family,split,status,n_samples,note,r2,r2_log1p,rmse,mae,mape
G,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5364458733998982,0.2748514862847594,239.83879651327587,44.379192457697584,38.0792085669716
G,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.010198670687797007,0.11731264778189976,350.46384942515056,61.17196008489339,42.60595160787152
G,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.01200759561180964,0.11758318363248232,350.14345547829146,61.21876913428471,43.019497547621185
G,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.4379757806975123,0.6358853989107831,264.08681935653544,44.869071027942546,25.994388673894235
G,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9382078211514701,0.41400856844666256,87.56609141309643,39.579404693766776,47.52953271141808
G,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.4685132410528644,0.9424465143566304,256.8120721929032,24.96173022298317,8.923304168999175
G,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8548148388092615,0.5577249902797264,134.22404604284256,26.047611799958972,23.89041166162165
G,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.3811355161310246,0.5597370918143936,277.1194384459565,48.40138646795002,28.866863781191547
G,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8879567722217981,0.33310823419262536,117.91308885292618,47.59363303457246,53.038657144789404
G,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5260690737986354,0.6157249216747427,242.50837145821973,45.541532074166454,26.20658724284304
H,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6066481368922723,0.7716783717016985,0.23452453789618716,0.05322254158654955,38.56274893091264
H,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8648507206648534,0.8413936633352461,0.13746892934565372,0.04470753023108577,45.85422336491705
H,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8243973363014527,0.9206927848592578,0.15669792040630826,0.02838076894365587,16.37486079216341
H,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,1.3046688294892687e-15,4.528556313665216e-16,3.1362040255997795e-13
H,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.66458526237633,0.8314924407524399,0.21656524127349394,0.04216637766497586,27.188354094356605
H,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6913399458907477,0.7501044198724736,0.20774850018376487,0.051761846888439135,46.426032240263396
H,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.10072267348551178,0.15207717878590388,0.3546047142485521,0.10094048730797449,88.57233455071662
H,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.1088913234471155,0.15940791200511206,0.3529905015304758,0.10171392539246722,86.52126618463008
H,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.753028048614594,0.761717612832879,0.18583242736848607,0.060876374043439034,56.07657773155113
H,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8771189906149647,0.7795777020978131,0.1310810972804708,0.060421984993421746,65.48762014677034
H,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8038699425185664,0.9143876664240028,0.1656035952007641,0.03314506152978568,22.73899206667157
H,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9402011492085821,0.94915798307623,0.0914416601193554,0.029260857895915607,29.939626529308395
H,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.7317103790257886,0.7230146207587442,0.19368661941738693,0.06556593827856144,59.525371513049166
H,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.848811581712978,0.7389438649706361,0.14539750190118347,0.06608492243772147,71.69977589239464
H,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8363497251460983,0.796759621595075,0.1512711305431698,0.05804553121383028,56.16821887944617
