protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
temporal_2022_2026,C,arima_lstm_temporal,pure_temporal_baseline,LastAnnualMean,938.0,34.0,-0.0189358701560342,-0.2701647078276852,34.340336770450435,23.978035805626604,68.00359958124169,
temporal_2022_2026,D,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,938.0,34.0,0.2468274259049621,0.3849434721960254,43.73804688547724,15.743947027062283,30.25446249626897,
temporal_2022_2026,E,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,938.0,34.0,0.3845840402154145,0.2699257171971896,19.0901418292995,9.70612039570695,23.745840397883164,
temporal_2022_2026,F,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,938.0,34.0,-0.0250190500744964,-0.8669545000658592,81.44294029886683,52.37403804861725,41.026248111814446,
temporal_2022_2026,G,arima_lstm_temporal,hybrid_spatiotemporal_sequence,XGBoost,938.0,34.0,-0.2451097245483935,-0.3133011977977635,30.61747092665472,22.155094997630403,43.48622121582915,
temporal_2022_2026,H,arima_lstm_temporal,hybrid_spatiotemporal_sequence,XGBoost,938.0,34.0,-0.0028292498744433,0.0136492022618812,0.2361345676332728,0.1172743117340347,194.3143974762608,
literature_2019_2020,A,distributional_robust,distributional_robust,HistGBR_squared_yj,815.0,100.0,0.0699937504320586,-0.0448671623909067,13.480691566091668,6.713086775447996,41.07050315644477,
literature_2019_2020,B,distributional_robust,distributional_robust,ExtraTrees_qnormal,815.0,100.0,0.0118915662476494,0.0625909558522312,2.1607992539163274,0.8232308489212428,103.50742556821938,
literature_2019_2020,C,distributional_robust,distributional_robust,RF_yj,815.0,100.0,0.0522097418873888,0.0412979597549608,51.014804127789645,24.60713038019849,38.01223429007408,
literature_2019_2020,D,distributional_robust,distributional_robust,ExtraTrees_qnormal,815.0,100.0,0.0354470199747726,-0.1076548059897946,56.53508925833491,22.54605747058167,47.28691868705395,
literature_2019_2020,E,distributional_robust,distributional_robust,ExtraTrees_yj,815.0,100.0,0.0658588135362392,0.0680205754456816,10.851100710814674,7.383975102685123,26.812569639929272,
literature_2019_2020,F,distributional_robust,distributional_robust,ExtraTrees_yj,815.0,100.0,0.0217494840315334,0.2380922712960359,84.88721834803542,39.52195973210055,57.50027827091576,
literature_2019_2020,G,distributional_robust,distributional_robust,RF_yj,815.0,100.0,-0.0278727355079775,-0.0771771763680007,126.32440419432588,47.95885544569071,36.27061807132433,
