protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,G,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,-0.014333642371446187,-0.03013779580278153,125.48967666788451,47.11749679390644,35.28203152034439
literature_2019_2020,G,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,-0.08104989061794954,-0.1406517980603741,129.55090582098936,55.14956095773294,49.04890114846056
literature_2019_2020,G,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,-0.013277109202093795,-0.09644174490883328,125.42430441597217,52.01002332074756,43.4698238095581
literature_2019_2020,G,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.02329743672614648,0.016091289462880853,123.13988653460454,49.885089255676256,39.90850477402406
literature_2019_2020,H,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.000977455390158477,-0.006427693372999199,0.35721771355240983,0.14542159104477612,119.9485837762329
literature_2019_2020,H,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.0024922551863382214,-0.0039878048767791885,0.3574879038309433,0.14231791833750157,114.52736359873266
literature_2019_2020,H,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.0026531025492626537,-0.0036126212119109713,0.35751658169853984,0.14187086926707815,113.77024162717805
literature_2019_2020,H,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.0037468484101235155,-0.04452107824406104,0.35771152733776096,0.164900703983116,151.90193495353358
literature_2019_2020,H,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,0.09672877245216471,0.06995472462988406,0.3393359924890033,0.16166890645531676,135.69063616315682
literature_2019_2020,H,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,0.05148119624513281,0.031721726028118735,0.34773132126625605,0.14782617838190004,125.52375579297347
literature_2019_2020,H,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,0.3701103017818165,0.44644317598593475,0.28336949164091524,0.10703615080511525,71.98490099195456
literature_2019_2020,H,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,0.47048136955665765,0.46669119117347846,0.2598133488044701,0.12665411722770112,113.91754247582394
literature_2019_2020,H,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,0.32424314438947344,0.28657374546328973,0.2935053814236155,0.13300524730819677,117.67961131786493
literature_2019_2020,H,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.2866082742425138,0.24026769716387975,0.30156773367254397,0.1263871008090973,106.07946659930457
temporal_2022_2026,A,pure_temporal_baseline,LastAnnualMean,ok,938,34,1,-0.002261076501723469,-0.21816490194699512,19.227283237602446,8.878795396419438,77.5237868215018
temporal_2022_2026,A,pure_temporal_baseline,LinearAnnualTrend,ok,938,34,1,-0.0021622987995750798,-0.14965940520512655,19.226335743133138,8.406983301472865,71.17286227708479
temporal_2022_2026,A,pure_temporal_baseline,ARIMAAnnualMean,ok,938,34,1,-0.003766258010538648,-0.12076147919271873,19.24171545212016,8.16483571658591,68.1541941363131
temporal_2022_2026,A,pure_temporal_baseline,LSTMAnnualMean,ok,938,34,1,-0.009069175471690727,-0.1990505935405651,19.292475684728633,8.600718124744862,74.94850831633822
temporal_2022_2026,A,zone_temporal_baseline,ZoneLinearTrend,ok,938,34,2,-0.014697504159593588,0.005177628322790784,19.346205103798663,9.033043096723679,61.87450635293082
