protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape,high_threshold,train_high_rate,gate_train_auc
temporal_2022_2026,D,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,0.06621718903108875,0.27008320395270347,48.70068555042876,16.770890284625118,26.02053128193419,42.184000000000005,0.20042643923240938,1.0
temporal_2022_2026,D,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,0.04817775714849348,0.24199035830535487,49.168851256283155,16.865114528762636,25.626898638170715,42.184000000000005,0.20042643923240938,1.0
temporal_2022_2026,E,quantile_regression,QuantileP50,ok,938,34,45,-0.040232789066147356,0.04709763431006164,24.81932963397741,10.529582869172964,22.2635814441392,,,
temporal_2022_2026,E,quantile_regression,QuantileP75,ok,938,34,45,0.021497467100829115,0.07105224323601345,24.071644153624383,10.794189455638348,25.74469259389584,,,
temporal_2022_2026,E,quantile_regression,QuantileP90,ok,938,34,45,0.5034663904128268,0.17165537012375054,17.14743253602895,10.78148372828819,35.07285965986677,,,
temporal_2022_2026,E,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,0.4837683915318415,0.36385890602068505,17.484252665533173,8.629571102363869,21.540994080388003,39.3,0.10127931769722814,1.0
temporal_2022_2026,E,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,0.45444579974045196,0.35649719120805223,17.973958287872772,8.77918885680721,21.315461234338624,39.3,0.10127931769722814,1.0
temporal_2022_2026,E,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,0.42746875848406707,0.34877751991245065,18.412992343736448,8.905176995004371,21.265672583013284,39.3,0.10127931769722814,1.0
temporal_2022_2026,E,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,0.010532299961630076,0.10588315697144224,24.206142659073425,10.23922117464437,21.99010478470809,35.96,0.20042643923240938,1.0
temporal_2022_2026,E,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,0.004563713544041836,0.10051964574398875,24.27904005338687,10.266783145864126,21.905770107915195,35.96,0.20042643923240938,1.0
temporal_2022_2026,E,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,-0.0003969061137500951,0.09520361016553514,24.339460499080975,10.30231965570408,21.927610894234146,35.96,0.20042643923240938,1.0
temporal_2022_2026,F,quantile_regression,QuantileP50,ok,938,34,45,-0.16178117624677113,-1.2382710746888996,86.7060982943871,55.04855901846464,40.37820513588132,,,
temporal_2022_2026,F,quantile_regression,QuantileP75,ok,938,34,45,0.1634424860223439,-0.18762824962267755,73.57586526627814,46.32500661289207,36.955599142606125,,,
temporal_2022_2026,F,quantile_regression,QuantileP90,ok,938,34,45,0.3013674196809665,0.02659223362378904,67.2375520373992,42.84633949942162,34.39719479114865,,,
